日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,000858,107.42,107.5,108.92,105.01,306674,4038536848.0,3.61,-0.86,-0.93,0.81
2020-01-03,000858,107.02,105.97,107.49,105.03,204692,2672531472.0,2.29,-1.42,-1.53,0.54
2020-01-06,000858,105.42,104.62,105.67,103.94,259370,3353682080.0,1.63,-1.27,-1.35,0.68
2020-01-07,000858,104.92,104.79,106.49,104.42,223278,2901574240.0,1.98,0.16,0.17,0.59
2020-01-08,000858,104.41,104.31,105.18,103.47,161802,2083242864.0,1.63,-0.46,-0.48,0.43
2020-01-09,000858,104.42,106.19,106.62,103.67,255491,3317934208.0,2.83,1.8,1.88,0.67
2020-01-10,000858,105.92,109.04,109.47,105.92,429695,5712380928.0,3.34,2.68,2.85,1.13
2020-01-13,000858,109.68,115.08,115.42,109.67,496042,6847185920.0,5.27,5.54,6.04,1.31
2020-01-14,000858,115.52,113.98,116.1,113.62,199073,2767444880.0,2.16,-0.96,-1.1,0.52
2020-01-15,000858,113.98,116.22,118.23,113.97,234789,3309331104.0,3.74,1.97,2.24,0.62
2020-01-16,000858,116.22,116.08,117.42,114.72,145360,2046672624.0,2.32,-0.12,-0.14,0.38
2020-01-17,000858,116.68,113.97,117.22,113.72,148478,2068064064.0,3.02,-1.82,-2.11,0.39
2020-01-20,000858,115.97,112.98,116.08,112.22,167538,2308928096.0,3.39,-0.87,-0.99,0.44
2020-01-21,000858,111.92,108.04,111.92,107.43,293073,3903226848.0,3.97,-4.37,-4.94,0.77
2020-01-22,000858,106.41,107.12,108.09,105.18,257531,3375415200.0,2.69,-0.85,-0.92,0.68
2020-01-23,000858,107.19,101.58,107.19,100.42,415937,5294268672.0,6.32,-5.17,-5.54,1.1
2020-02-03,000858,88.96,88.96,88.96,88.96,167639,1903373200.0,0.0,-12.42,-12.62,0.44
2020-02-04,000858,84.42,89.92,95.42,84.42,710214,8017646080.0,12.37,1.08,0.96,1.87
2020-02-05,000858,91.32,92.93,95.22,89.52,388783,4546389248.0,6.34,3.35,3.01,1.02
2020-02-06,000858,94.42,94.57,95.36,92.02,306551,3619248784.0,3.59,1.76,1.64,0.81
2020-02-07,000858,94.67,96.0,96.35,93.03,280117,3346691776.0,3.51,1.51,1.43,0.74
2020-02-10,000858,94.92,96.55,97.75,94.0,221877,2682789600.0,3.91,0.57,0.55,0.58
2020-02-11,000858,96.57,100.21,100.92,96.57,245774,3049430912.0,4.51,3.79,3.66,0.65
2020-02-12,000858,99.92,99.91,100.67,98.19,175114,2168783488.0,2.47,-0.3,-0.3,0.46
2020-02-13,000858,100.3,99.56,102.08,98.79,178629,2230165008.0,3.29,-0.35,-0.35,0.47
2020-02-14,000858,99.62,98.85,101.3,97.87,169720,2094049248.0,3.45,-0.71,-0.71,0.45
2020-02-17,000858,98.6,99.72,99.72,98.0,238169,2941280512.0,1.74,0.88,0.87,0.63
2020-02-18,000858,99.22,98.81,99.72,98.43,128728,1590249168.0,1.29,-0.91,-0.91,0.34
2020-02-19,000858,99.2,101.42,102.6,98.1,316628,3976674960.0,4.55,2.64,2.61,0.83
2020-02-20,000858,102.42,105.57,106.0,102.31,334662,4332207360.0,3.64,4.09,4.15,0.88
2020-02-21,000858,105.42,105.42,106.62,104.44,207438,2695003472.0,2.06,-0.14,-0.15,0.55
2020-02-24,000858,104.82,102.52,104.82,102.12,235601,3005249408.0,2.56,-2.75,-2.9,0.62
2020-02-25,000858,100.22,100.72,102.42,99.28,240633,3014293136.0,3.06,-1.76,-1.8,0.63
2020-02-26,000858,99.25,99.52,101.84,98.42,214179,2662201888.0,3.4,-1.19,-1.2,0.56
2020-02-27,000858,100.22,101.72,103.17,99.92,235732,2986686528.0,3.27,2.21,2.2,0.62
2020-02-28,000858,99.42,96.02,99.45,94.42,366012,4445668096.0,4.94,-5.6,-5.7,0.96
2020-03-02,000858,95.52,98.07,99.02,95.02,269822,3287615184.0,4.17,2.13,2.05,0.71
2020-03-03,000858,99.12,99.79,101.3,99.12,230923,2878896368.0,2.22,1.75,1.72,0.61
2020-03-04,000858,99.42,100.69,101.35,99.42,197575,2471690896.0,1.93,0.9,0.9,0.52
2020-03-05,000858,101.97,108.62,110.3,101.42,565620,7399037696.0,8.82,7.88,7.93,1.49
2020-03-06,000858,107.42,105.49,110.3,105.42,291658,3845033472.0,4.49,-2.88,-3.13,0.77
2020-03-09,000858,103.42,101.72,103.67,101.46,244542,3106158208.0,2.09,-3.57,-3.77,0.64
2020-03-10,000858,101.72,106.14,107.05,101.62,310772,4017374192.0,5.34,4.35,4.42,0.82
2020-03-11,000858,107.92,105.32,108.22,104.92,187635,2452609920.0,3.11,-0.77,-0.82,0.49
2020-03-12,000858,102.3,101.46,103.53,101.28,252660,3199005136.0,2.14,-3.67,-3.86,0.67
2020-03-13,000858,95.42,98.02,100.64,94.3,350887,4280415920.0,6.25,-3.39,-3.44,0.92
2020-03-16,000858,96.82,90.92,97.82,89.83,370242,4379489536.0,8.15,-7.24,-7.1,0.98
2020-03-17,000858,89.92,87.78,93.0,84.0,352980,3975112224.0,9.9,-3.45,-3.14,0.93
2020-03-18,000858,88.62,83.01,91.39,82.11,404423,4528146944.0,10.57,-5.43,-4.77,1.07
2020-03-19,000858,81.22,77.53,82.42,74.05,601698,6133825280.0,10.08,-6.6,-5.48,1.59
2020-03-20,000858,79.74,83.93,85.08,79.63,422064,4484741888.0,7.03,8.25,6.4,1.11
2020-03-23,000858,79.42,79.93,81.92,78.46,328265,3443583088.0,4.12,-4.77,-4.0,0.86
2020-03-24,000858,82.5,84.47,85.31,81.46,356363,3859693792.0,4.82,5.68,4.54,0.94
2020-03-25,000858,88.52,89.42,90.38,87.26,309473,3508691584.0,3.69,5.86,4.95,0.82
2020-03-26,000858,88.4,89.31,91.72,87.32,208801,2397709904.0,4.92,-0.12,-0.11,0.55
2020-03-27,000858,91.02,91.23,93.22,91.02,235435,2745616752.0,2.46,2.15,1.92,0.62
2020-03-30,000858,88.24,88.65,89.44,87.12,205806,2321514400.0,2.54,-2.83,-2.58,0.54
2020-03-31,000858,90.42,90.62,92.01,89.48,188496,2179898624.0,2.85,2.22,1.97,0.5
2020-04-01,000858,91.42,90.42,92.41,89.86,175969,2033698720.0,2.81,-0.22,-0.2,0.46
2020-04-02,000858,89.42,92.61,92.61,88.94,191537,2218330784.0,4.06,2.42,2.19,0.5
2020-04-03,000858,93.12,92.94,94.89,92.22,175806,2076905520.0,2.88,0.36,0.33,0.46
2020-04-07,000858,96.02,99.56,100.0,96.02,294512,3627761360.0,4.28,7.12,6.62,0.78
2020-04-08,000858,99.56,100.7,101.41,98.85,201134,2515223472.0,2.57,1.15,1.14,0.53
2020-04-09,000858,102.07,100.4,103.02,98.43,158796,1985606240.0,4.56,-0.3,-0.3,0.42
2020-04-10,000858,100.4,101.94,104.22,99.62,198961,2526071152.0,4.58,1.53,1.54,0.52
2020-04-13,000858,100.57,100.42,102.44,99.62,146060,1831925088.0,2.77,-1.49,-1.52,0.38
2020-04-14,000858,102.03,103.87,104.3,100.62,194619,2481573360.0,3.66,3.44,3.45,0.51
2020-04-15,000858,103.89,103.33,105.7,102.63,162967,2095661168.0,2.96,-0.52,-0.54,0.43
2020-04-16,000858,102.43,101.52,103.22,100.94,188254,2379554848.0,2.21,-1.75,-1.81,0.5
2020-04-17,000858,102.59,104.24,105.12,102.16,234711,3022344864.0,2.92,2.68,2.72,0.62
2020-04-20,000858,105.34,104.73,105.9,104.3,132188,1710863424.0,1.53,0.47,0.49,0.35
2020-04-21,000858,103.5,101.89,104.37,100.5,205524,2596092240.0,3.7,-2.71,-2.84,0.54
2020-04-22,000858,101.96,105.72,106.41,100.84,265985,3436601392.0,5.47,3.76,3.83,0.7
2020-04-23,000858,106.62,106.51,109.72,106.22,213319,2822832128.0,3.31,0.75,0.79,0.56
2020-04-24,000858,106.66,106.82,108.71,104.79,167733,2215246720.0,3.68,0.29,0.31,0.44
2020-04-27,000858,107.93,108.12,109.04,105.8,159342,2110526720.0,3.03,1.22,1.3,0.42
2020-04-28,000858,111.42,114.42,116.64,109.93,420773,5811722496.0,6.21,5.83,6.3,1.11
2020-04-29,000858,114.42,110.92,115.57,109.42,291832,3980521440.0,5.37,-3.06,-3.5,0.77
2020-04-30,000858,110.92,111.19,114.62,109.44,228641,3121490864.0,4.67,0.24,0.27,0.6
2020-05-06,000858,109.92,113.63,114.47,109.4,251045,3442757072.0,4.56,2.19,2.44,0.66
2020-05-07,000858,113.8,117.33,117.42,112.79,277962,3911603344.0,4.07,3.26,3.7,0.73
2020-05-08,000858,118.07,118.32,120.92,116.35,243267,3478295312.0,3.89,0.84,0.99,0.64
2020-05-11,000858,118.64,117.27,120.52,116.42,236820,3384838032.0,3.47,-0.89,-1.05,0.62
2020-05-12,000858,116.42,118.32,119.21,116.31,151845,2167669760.0,2.47,0.9,1.05,0.4
2020-05-13,000858,118.32,121.42,121.63,117.72,196350,2845747552.0,3.3,2.62,3.1,0.52
2020-05-14,000858,121.32,121.72,122.42,119.82,153613,2244204768.0,2.14,0.25,0.3,0.4
2020-05-15,000858,122.92,120.64,123.41,119.5,160644,2338474672.0,3.21,-0.89,-1.08,0.42
2020-05-18,000858,120.42,126.61,127.88,120.02,248810,3718097616.0,6.52,4.95,5.97,0.66
2020-05-19,000858,128.75,126.84,128.91,125.79,176506,2669709616.0,2.46,0.18,0.23,0.47
2020-05-20,000858,127.92,126.27,128.4,125.93,170412,2580358160.0,1.95,-0.45,-0.57,0.45
2020-05-21,000858,127.28,127.1,128.95,126.45,170922,2602103040.0,1.98,0.66,0.83,0.45
2020-05-22,000858,126.18,119.67,126.2,119.07,383526,5597327872.0,5.61,-5.85,-7.43,1.01
2020-05-25,000858,119.43,122.45,122.82,116.52,243560,3540747472.0,5.26,2.32,2.78,0.64
2020-05-26,000858,122.45,123.23,124.54,121.57,165119,2436906016.0,2.43,0.64,0.78,0.44
2020-05-27,000858,123.24,121.58,123.82,121.1,145963,2143082944.0,2.21,-1.34,-1.65,0.38
2020-05-28,000858,121.57,121.58,123.44,119.92,148184,2166223152.0,2.9,0.0,0.0,0.39
2020-05-29,000858,120.42,123.62,124.01,120.25,163217,2408655792.0,3.09,1.68,2.04,0.43
2020-06-01,000858,125.48,134.01,135.6,125.48,357844,5624344576.0,8.19,8.4,10.39,0.94
2020-06-02,000858,133.81,134.19,139.07,133.44,291586,4669324800.0,4.2,0.13,0.18,0.77
2020-06-03,000858,136.28,133.66,137.18,132.1,252759,4004118592.0,3.79,-0.39,-0.53,0.67
2020-06-04,000858,133.45,134.27,135.4,132.42,136318,2166142880.0,2.23,0.46,0.61,0.36
2020-06-05,000858,134.53,135.51,136.1,133.02,159859,2547709184.0,2.29,0.92,1.24,0.42
2020-06-08,000858,134.92,136.03,140.37,134.72,222551,3596734096.0,4.17,0.38,0.52,0.59
2020-06-09,000858,136.0,138.03,138.42,134.43,161119,2610701056.0,2.93,1.47,2.0,0.42
2020-06-10,000858,138.07,137.96,139.2,136.5,149481,2428166144.0,1.96,-0.05,-0.07,0.39
2020-06-11,000858,137.22,135.49,138.16,133.37,199461,3195703168.0,3.47,-1.79,-2.47,0.53
2020-06-12,000858,132.42,136.92,137.3,131.52,176476,2822869424.0,4.27,1.06,1.43,0.46
2020-06-15,000858,134.42,132.42,136.3,131.92,266220,4206860400.0,3.2,-3.29,-4.5,0.7
2020-06-16,000858,132.52,133.1,134.68,131.82,259847,4095546272.0,2.16,0.51,0.68,0.68
2020-06-17,000858,132.68,131.3,132.92,129.32,232423,3610097408.0,2.7,-1.35,-1.8,0.61
2020-06-18,000858,132.02,133.78,134.0,131.38,199490,3145346592.0,2.0,1.89,2.48,0.53
2020-06-19,000858,133.92,140.99,141.92,133.85,387028,6342808576.0,6.03,5.39,7.21,1.02
2020-06-22,000858,141.62,140.62,141.62,138.62,216312,3513415728.0,2.13,-0.26,-0.37,0.57
2020-06-23,000858,140.62,145.6,146.02,139.7,265325,4413501440.0,4.49,3.54,4.98,0.7
2020-06-24,000858,146.03,146.23,148.92,144.62,187986,3172425488.0,2.95,0.43,0.63,0.5
2020-06-29,000858,144.23,145.12,146.12,143.42,199936,3331811632.0,1.85,-0.76,-1.11,0.53
2020-06-30,000858,146.16,148.74,149.29,146.12,189898,3238678112.0,2.18,2.49,3.62,0.5
2020-07-01,000858,148.74,159.6,162.72,148.74,271818,4886748672.0,9.4,7.3,10.86,0.72
2020-07-02,000858,157.62,167.11,169.96,157.5,348870,6549218048.0,7.81,4.71,7.51,0.92
2020-07-03,000858,167.61,166.34,168.12,160.12,308159,5745184512.0,4.79,-0.46,-0.77,0.81
2020-07-06,000858,166.33,170.44,173.62,163.18,328431,6291466752.0,6.28,2.46,4.1,0.87
2020-07-07,000858,170.4,179.51,184.0,167.94,384111,7693352448.0,9.42,5.32,9.07,1.01
2020-07-08,000858,179.12,180.98,183.42,176.62,292323,5907018240.0,3.79,0.82,1.47,0.77
2020-07-09,000858,181.01,181.34,182.98,179.12,295243,5988999424.0,2.13,0.2,0.36,0.78
2020-07-10,000858,180.62,184.62,189.42,178.42,335476,6923294720.0,6.07,1.81,3.28,0.88
2020-07-13,000858,184.62,195.82,202.62,184.62,488807,10648696832.0,9.75,6.07,11.2,1.29
2020-07-14,000858,195.92,198.52,202.95,189.65,438733,9589876480.0,6.79,1.38,2.7,1.16
2020-07-15,000858,196.62,201.57,203.62,195.22,371700,8289624064.0,4.23,1.54,3.05,0.98
2020-07-16,000858,198.62,179.18,198.67,179.18,705737,14817949952.0,9.67,-11.11,-22.39,1.86
2020-07-17,000858,172.62,183.01,187.32,172.62,529767,10785869056.0,8.2,2.14,3.83,1.4
2020-07-20,000858,183.12,179.3,186.12,168.63,442907,8808311296.0,9.56,-2.03,-3.71,1.17
2020-07-21,000858,178.62,183.2,186.52,176.42,317859,6514435840.0,5.63,2.18,3.9,0.84
2020-07-22,000858,181.87,186.52,190.49,180.37,280663,5873887488.0,5.52,1.81,3.32,0.74
